Mile_Bin,Time_Label,Avg_Pace,Avg_HR,Elevation_Change_m,Efficiency_Factor
0.1,03:00:19,11.95,123.0,0.0,0.0409
0.2,03:01:17,9.36,145.0,-2.0,0.0443
0.3,03:02:13,8.87,150.0,-1.0,0.0451
0.4,03:03:04,8.31,155.0,-1.0,0.0466
0.5,03:03:53,8.28,156.0,-1.0,0.0465
0.6,03:04:44,8.26,157.0,-2.0,0.0462
0.7,03:05:35,8.46,159.0,-1.0,0.0447
0.8,03:06:26,8.86,157.0,-1.0,0.0432
0.9,03:07:20,8.78,156.0,0.0,0.0438
1.0,03:08:15,9.13,155.0,1.0,0.0424
1.1,03:09:09,9.05,154.0,0.0,0.043
1.2,03:10:04,8.28,156.0,-1.0,0.0464
1.3,03:10:51,8.19,158.0,-1.0,0.0463
1.4,03:11:44,8.63,155.0,-1.0,0.0448
1.5,03:12:34,8.58,156.0,0.0,0.045
1.6,03:13:29,8.93,157.0,1.0,0.0427
1.7,03:14:23,8.67,157.0,1.0,0.044
1.8,03:15:16,9.02,158.0,1.0,0.042
1.9,03:16:09,8.49,158.0,1.0,0.0448
2.0,03:17:00,8.83,155.0,0.0,0.0438
2.1,03:17:54,9.0,161.0,-1.0,0.0414
2.2,03:18:46,8.74,156.0,-2.0,0.0439
2.3,03:19:38,8.73,153.0,-2.0,0.0448
2.4,03:20:31,8.67,154.0,-3.0,0.045
2.5,03:21:23,8.91,152.0,1.0,0.0443
2.6,03:22:19,9.12,157.0,3.0,0.0419
2.7,03:23:14,9.16,159.0,0.0,0.0411
2.8,03:24:10,9.23,157.0,-3.0,0.0415
2.9,03:25:03,8.83,153.0,2.0,0.0445
3.0,03:25:56,8.99,156.0,1.0,0.0428
3.1,03:26:52,9.22,157.0,1.0,0.0415
3.2,03:27:47,8.96,159.0,-1.0,0.042
3.3,03:28:38,8.52,159.0,0.0,0.0442
3.4,03:29:30,8.52,161.0,-3.0,0.0436
3.5,03:30:20,8.53,158.0,0.0,0.0444
3.6,03:31:13,8.98,157.0,1.0,0.0425
3.7,03:32:06,8.91,154.0,-1.0,0.0436
3.8,03:32:59,8.72,157.0,0.0,0.0439
3.9,03:33:52,8.8,156.0,0.0,0.0438
4.0,03:34:45,8.89,154.0,1.0,0.0438
4.1,03:35:39,8.92,155.0,0.0,0.0434
4.2,03:36:33,8.94,160.0,0.0,0.042
4.3,03:37:26,8.97,158.0,0.0,0.0423
4.4,03:38:21,8.96,164.0,1.0,0.0407
4.5,03:39:18,9.08,159.0,2.0,0.0416
4.6,03:40:13,8.8,155.0,1.0,0.044
4.7,03:41:05,8.64,157.0,0.0,0.0443
4.8,03:41:59,8.88,155.0,1.0,0.0437
4.9,03:42:54,9.74,157.0,7.0,0.0393
5.0,03:43:57,9.98,160.0,5.0,0.0376
5.1,03:44:56,9.19,159.0,-4.0,0.041
5.2,03:45:49,8.89,161.0,1.0,0.0418
5.3,03:46:43,8.78,158.0,4.0,0.0433
5.4,03:47:37,9.29,158.0,1.0,0.0408
5.5,03:48:32,8.82,157.0,-2.0,0.0433
5.6,03:49:24,8.82,153.0,-2.0,0.0445
5.7,03:50:18,9.09,152.0,1.0,0.0435
5.8,03:51:13,9.2,154.0,0.0,0.0424
5.9,03:52:08,9.17,154.0,0.0,0.0424
6.0,03:53:03,9.12,153.0,0.0,0.043
6.1,03:53:57,9.02,153.0,0.0,0.0436
6.2,03:54:52,9.15,155.0,1.0,0.0423
6.3,03:55:48,9.83,150.0,0.0,0.0408
6.4,03:57:05,7.74,154.0,-1.0,0.0503
6.5,03:57:53,8.27,169.0,0.0,0.043
6.6,03:58:45,8.22,166.0,1.0,0.044
6.7,03:59:35,8.45,170.0,0.0,0.0418
6.8,04:00:25,8.32,170.0,-1.0,0.0424
6.9,04:01:16,8.37,169.0,0.0,0.0425
7.0,04:02:08,8.61,160.0,0.0,0.0435
7.1,04:03:00,9.0,158.0,0.0,0.0421
7.2,04:03:54,9.08,157.0,0.0,0.042
7.3,04:04:48,8.75,161.0,-1.0,0.0426
7.4,04:05:40,8.66,162.0,-2.0,0.0427
7.5,04:06:33,8.92,158.0,-1.0,0.0426
7.6,04:07:27,8.96,156.0,-1.0,0.0429
7.7,04:08:21,8.7,155.0,-1.0,0.0445
7.8,04:09:13,8.87,155.0,1.0,0.0435
7.9,04:10:06,8.58,157.0,-2.0,0.0446
8.0,04:10:58,8.73,154.0,0.0,0.0447
8.1,04:11:51,9.0,156.0,1.0,0.0428
8.2,04:12:46,8.74,155.0,-1.0,0.0442
8.3,04:13:38,8.83,158.0,-1.0,0.043
8.4,04:14:30,8.84,164.0,0.0,0.0413
8.5,04:15:24,8.83,160.0,0.0,0.0424
8.6,04:16:15,8.55,165.0,0.0,0.0424
8.7,04:17:07,8.61,167.0,0.0,0.0416
8.8,04:17:59,8.65,165.0,0.0,0.0421
8.9,04:18:51,8.62,163.0,0.0,0.0428
9.0,04:19:42,8.53,163.0,0.0,0.0433
9.1,04:20:34,8.82,163.0,2.0,0.0418
9.2,04:21:28,8.7,163.0,-2.0,0.0424
9.3,04:22:21,9.08,165.0,1.0,0.04
9.4,04:23:16,8.98,164.0,0.0,0.0408
9.5,04:24:10,9.21,164.0,0.0,0.0398
9.6,04:25:05,9.07,166.0,0.0,0.0398
9.7,04:25:59,8.91,166.0,0.0,0.0405
9.8,04:26:53,8.92,163.0,0.0,0.0414
9.9,04:27:46,8.6,162.0,0.0,0.0431
10.0,04:28:37,8.7,165.0,0.0,0.0417
10.1,04:29:30,8.74,168.0,0.0,0.0408
10.2,04:30:23,8.92,168.0,0.0,0.04
10.3,04:31:18,9.43,165.0,1.0,0.0385
10.4,04:32:15,9.31,160.0,-1.0,0.0404
10.5,04:33:11,9.47,159.0,1.0,0.0398
10.6,04:34:08,9.71,161.0,2.0,0.0384
10.7,04:35:07,9.18,165.0,1.0,0.0397
10.8,04:36:00,8.85,166.0,-2.0,0.0408
10.9,04:36:52,8.75,164.0,-1.0,0.0419
11.0,04:37:45,8.69,158.0,0.0,0.0436
11.1,04:38:37,9.53,152.0,0.0,0.0414
11.2,04:39:53,9.03,158.0,1.0,0.042
11.3,04:40:48,9.19,165.0,1.0,0.0396
11.4,04:41:43,9.2,169.0,0.0,0.0387
11.5,04:42:38,9.07,167.0,0.0,0.0397
11.6,04:43:32,9.03,159.0,0.0,0.0418
11.7,04:44:26,8.89,159.0,1.0,0.0425
11.8,04:45:19,8.94,161.0,-1.0,0.0417
11.9,04:46:14,9.23,160.0,-1.0,0.0407
12.0,04:47:09,9.21,160.0,1.0,0.0407
12.1,04:48:05,9.55,161.0,2.0,0.0391
12.2,04:49:04,9.84,159.0,3.0,0.0384
12.3,04:50:02,9.65,156.0,1.0,0.0398
12.4,04:51:00,9.74,155.0,1.0,0.0397
12.5,04:51:58,9.95,157.0,2.0,0.0383
12.6,04:52:57,9.49,160.0,-2.0,0.0396
12.7,04:53:52,9.19,162.0,-2.0,0.0404
12.8,04:54:46,9.2,163.0,-1.0,0.0399
12.9,04:55:42,9.65,162.0,1.0,0.0383
13.0,04:56:41,9.97,162.0,0.0,0.0372
13.1,04:57:36,10.01,162.0,2.0,0.0369
13.2,04:58:52,12.95,142.0,2.0,0.0327
13.3,05:00:00,10.26,150.0,1.0,0.039
13.4,05:01:43,9.36,141.0,-1.0,0.0455
13.5,05:02:41,9.38,151.0,-1.0,0.0423
13.6,05:03:35,8.5,158.0,0.0,0.0447
13.7,05:04:24,8.31,162.0,-3.0,0.0445
13.8,05:05:14,8.57,159.0,-3.0,0.0439
13.9,05:06:08,8.85,158.0,0.0,0.043
14.0,05:07:02,9.02,160.0,1.0,0.0416
14.1,05:07:56,8.9,164.0,0.0,0.0412
14.2,05:08:49,8.86,165.0,-1.0,0.041
14.3,05:09:44,9.03,169.0,0.0,0.0394
14.4,05:10:37,8.84,168.0,0.0,0.0405
14.5,05:11:30,8.9,168.0,0.0,0.04
14.6,05:12:25,9.02,169.0,-1.0,0.0393
14.7,05:13:19,8.9,169.0,0.0,0.0399
14.8,05:14:13,8.94,167.0,0.0,0.0402
14.9,05:15:08,9.35,165.0,0.0,0.0389
15.0,05:16:06,9.09,165.0,1.0,0.04
15.1,05:17:00,9.35,169.0,0.0,0.0379
15.2,05:17:56,9.53,167.0,-3.0,0.0378
15.3,05:18:55,9.78,161.0,-1.0,0.0381
15.4,05:19:54,9.54,164.0,2.0,0.0383
15.5,05:20:49,9.18,167.0,0.0,0.0392
15.6,05:21:44,9.37,164.0,4.0,0.0391
15.7,05:22:40,9.31,160.0,-1.0,0.0402
15.8,05:23:36,9.39,162.0,2.0,0.0396
15.9,05:24:32,9.51,161.0,0.0,0.0391
16.0,05:25:31,11.21,162.0,-1.0,0.0331
16.1,05:26:35,10.25,155.0,3.0,0.0377
16.2,05:27:39,11.1,161.0,2.0,0.0336
16.3,05:28:43,9.18,163.0,1.0,0.0401
16.4,05:29:38,13.13,164.0,1.0,0.0278
16.5,05:30:49,10.8,155.0,3.0,0.036
16.6,05:31:52,11.94,155.0,1.0,0.0325
16.7,05:32:59,9.99,163.0,-1.0,0.0369
16.8,05:34:00,13.85,161.0,-1.0,0.0268
16.9,05:35:09,10.24,166.0,-3.0,0.0352
17.0,05:36:06,9.29,165.0,-2.0,0.0391
17.1,05:37:03,9.59,167.0,1.0,0.0375
17.2,05:38:01,10.11,167.0,2.0,0.0356
17.3,05:39:04,10.38,168.0,2.0,0.0344
17.4,05:40:10,16.12,146.0,4.0,0.0255
17.5,05:41:41,15.11,128.0,2.0,0.0309
17.6,05:43:03,9.32,152.0,-3.0,0.0425
17.7,05:44:00,9.5,158.0,-5.0,0.0401
17.8,05:44:56,9.32,154.0,-5.0,0.0419
17.9,05:45:52,13.23,159.0,0.0,0.0285
18.0,05:47:04,13.91,151.0,1.0,0.0286
18.1,05:48:23,10.63,151.0,-2.0,0.0375
18.2,05:49:27,12.31,159.0,0.0,0.0307
18.3,05:50:54,12.41,149.0,1.0,0.0324
18.4,05:52:04,10.41,154.0,-1.0,0.0375
18.5,05:53:05,12.53,155.0,-2.0,0.0309
18.6,05:54:14,11.22,146.0,-1.0,0.0367
18.7,05:55:39,13.49,159.0,0.0,0.028
18.8,05:56:58,10.74,149.0,-1.0,0.0375
18.9,05:58:04,11.26,158.0,-1.0,0.0337
19.0,05:59:15,16.95,146.0,2.0,0.0242
19.1,06:00:52,16.64,117.0,0.0,0.0308
19.2,06:02:25,10.17,141.0,0.0,0.0418
19.3,06:03:25,13.15,155.0,0.0,0.0294
19.4,06:04:39,17.66,151.0,0.0,0.0225
19.5,06:06:12,15.54,137.0,-1.0,0.0282
19.6,06:07:44,14.37,122.0,0.0,0.0344
19.7,06:09:04,10.72,136.0,-1.0,0.0411
19.8,06:10:11,12.83,140.0,-1.0,0.0334
19.9,06:11:27,15.84,141.0,1.0,0.0268
20.0,06:12:51,11.73,151.0,-1.0,0.0338
20.1,06:14:00,12.41,143.0,0.0,0.0338
20.2,06:15:12,12.69,133.0,-2.0,0.0356
20.3,06:16:44,14.17,149.0,2.0,0.0284
20.4,06:18:03,14.66,132.0,0.0,0.031
20.5,06:19:20,13.08,136.0,0.0,0.0336
20.6,06:20:33,15.93,133.0,1.0,0.0283
20.7,06:22:52,19.67,114.0,1.0,0.0268
20.8,06:24:39,16.68,107.0,-1.0,0.0337
20.9,06:26:34,10.76,137.0,-1.0,0.0407
21.0,06:27:38,11.92,151.0,0.0,0.0333
21.1,06:28:49,13.53,142.0,1.0,0.0312
21.2,06:30:06,12.72,139.0,-2.0,0.034
21.3,06:31:21,14.51,129.0,1.0,0.0321
21.4,06:32:40,16.05,127.0,5.0,0.0294
21.5,06:34:17,17.44,114.0,5.0,0.0303
21.6,06:36:08,14.57,134.0,3.0,0.0307
21.7,06:37:33,11.42,135.0,-2.0,0.0389
21.8,06:38:36,13.47,145.0,-5.0,0.0307
21.9,06:39:55,11.3,147.0,-1.0,0.0362
22.0,06:41:02,17.31,135.0,-2.0,0.0257
22.1,06:42:44,11.27,138.0,0.0,0.0387
22.2,06:43:48,15.3,135.0,2.0,0.029
22.3,06:45:19,14.47,122.0,3.0,0.0341
22.4,06:46:38,11.09,145.0,0.0,0.0372
22.5,06:47:49,14.79,149.0,2.0,0.0272
22.6,06:49:14,13.1,155.0,-1.0,0.0295
22.7,06:50:28,10.06,162.0,-4.0,0.0369
22.8,06:51:33,14.85,152.0,0.0,0.0266
22.9,06:52:56,15.56,138.0,0.0,0.0279
23.0,06:54:20,13.23,142.0,-1.0,0.032
23.1,06:55:37,12.43,153.0,-3.0,0.0316
23.2,06:56:52,12.35,155.0,0.0,0.0313
23.3,06:58:04,12.6,149.0,0.0,0.0319
23.4,06:59:22,10.92,148.0,-2.0,0.0371
23.5,07:00:30,12.97,138.0,0.0,0.0335
23.6,07:01:49,12.69,131.0,-3.0,0.0362
23.7,07:03:00,12.16,136.0,-2.0,0.0363
23.8,07:04:14,11.42,146.0,-1.0,0.0361
23.9,07:05:26,14.34,152.0,1.0,0.0276
24.0,07:06:51,12.95,141.0,1.0,0.0328
24.1,07:08:09,13.23,146.0,-1.0,0.0311
24.2,07:09:26,13.44,151.0,-2.0,0.0296
24.3,07:10:46,15.0,136.0,0.0,0.0294
24.4,07:12:05,11.81,144.0,1.0,0.0354
24.5,07:13:19,14.06,160.0,0.0,0.0266
24.6,07:14:40,14.11,143.0,2.0,0.0298
24.7,07:16:00,15.55,146.0,0.0,0.0264
24.8,07:17:25,13.81,142.0,-1.0,0.0307
24.9,07:18:47,13.62,156.0,0.0,0.0283
25.0,07:20:06,14.64,153.0,1.0,0.0268
25.1,07:21:31,12.44,147.0,0.0,0.0327
25.2,07:22:43,12.87,148.0,-2.0,0.0315
25.3,07:23:57,13.15,144.0,1.0,0.0316
25.4,07:25:16,13.98,131.0,1.0,0.0328
25.5,07:26:39,13.66,130.0,2.0,0.0339
25.6,07:28:01,14.15,123.0,0.0,0.0346
25.7,07:29:27,12.75,141.0,1.0,0.0333
25.8,07:30:41,13.18,143.0,0.0,0.0319
25.9,07:32:00,9.96,145.0,-2.0,0.0417
26.0,07:32:57,10.79,162.0,-2.0,0.0344
26.1,07:34:02,10.2,158.0,0.0,0.0373
26.2,07:35:06,10.76,156.0,1.0,0.0357
26.3,07:36:14,10.93,156.0,0.0,0.0352
26.4,07:37:17,10.29,152.0,0.0,0.0384
26.5,07:38:18,10.07,152.0,0.0,0.0391
